#,Id,TelegramUserId,FoodId,WeightGrams,AddedOn
88,1083,79307128,2,80.00,2022-06-04 10:37:13.5973910
89,1084,79307128,1044,300.00,2022-06-04 11:17:04.6167790
90,1085,79307128,1045,21.00,2022-06-04 11:18:05.7725450
91,1086,79307128,2,71.00,2022-06-04 12:30:04.8147050
92,1087,79307128,1046,60.00,2022-06-04 14:51:15.1335390
93,1088,79307128,1023,18.00,2022-06-04 14:51:29.6957620
94,1089,79307128,1047,,2022-06-04 17:40:35.7546840
95,1090,79307128,1048,300.00,2022-06-04 17:47:26.9721630
96,1091,79307128,29,267.00,2022-06-04 21:57:04.4022520
97,1092,79307128,1049,156.00,2022-06-04 22:01:25.6887420
98,1093,79307128,30,47.00,2022-06-04 22:12:57.9866730
99,1094,79307128,29,122.00,2022-06-04 22:20:22.7501300
100,1095,79307128,1049,120.00,2022-06-04 22:21:12.4543410
101,1096,79307128,1049,105.00,2022-06-04 22:47:12.0463710
102,1097,79307128,29,175.00,2022-06-04 22:54:32.1092150
103,1098,79307128,30,17.00,2022-06-04 23:39:50.2292470
104,1099,79307128,18,,2022-06-05 13:50:34.5443870
105,1100,79307128,2,69.00,2022-06-05 13:51:12.6639790
106,1101,79307128,1050,,2022-06-05 17:44:13.6936300
107,1102,79307128,1051,300.00,2022-06-05 18:08:25.0902330
108,1103,79307128,29,403.00,2022-06-05 22:37:42.9826330
109,1104,79307128,1052,122.00,2022-06-05 22:40:51.5012750
110,1105,79307128,30,26.00,2022-06-05 22:47:15.9120020
111,1106,79307128,29,76.00,2022-06-05 22:49:35.0335620
112,1107,79307128,30,20.00,2022-06-05 22:54:25.3286220
113,1108,79307128,2,80.00,2022-06-06 10:37:56.4411390
114,1109,79307128,1044,280.00,2022-06-06 10:38:47.3702690
115,1110,79307128,1053,13.00,2022-06-06 10:40:57.3299950
116,1111,79307128,18,,2022-06-07 10:17:54.5065100
117,1112,79307128,2,78.00,2022-06-07 10:18:29.9407900
118,1113,79307128,2,69.00,2022-06-07 13:39:00.0250900
119,1114,79307128,1054,250.00,2022-06-07 14:51:49.8761890
120,1115,79307128,1029,80.00,2022-06-07 14:53:14.0210500
121,1116,79307128,1023,6.00,2022-06-07 14:53:45.2283850
122,1117,79307128,1039,270.00,2022-06-07 20:09:58.5175400
123,1118,79307128,1023,6.00,2022-06-07 21:12:35.5769500
124,1119,79307128,29,292.00,2022-06-07 21:36:28.8259060
125,1120,79307128,1052,111.00,2022-06-07 21:38:16.5632200
126,1121,79307128,1055,19.00,2022-06-07 21:54:35.4180000
127,1122,79307128,30,40.00,2022-06-07 21:55:29.8250620
128,1123,79307128,29,108.00,2022-06-07 21:59:44.0466210
129,1124,79307128,1056,88.00,2022-06-07 22:03:31.8579990
130,1125,79307128,1052,131.00,2022-06-07 22:08:33.3451320
131,1126,79307128,1056,51.00,2022-06-07 22:12:37.0575130
132,1127,79307128,1052,78.00,2022-06-07 22:38:36.1903450
133,1128,79307128,30,30.00,2022-06-07 22:39:28.3372420
134,1129,79307128,1052,59.00,2022-06-07 23:07:24.7017190
135,1131,79307128,2,75.00,2022-06-08 09:47:37.2027260
136,1132,79307128,1020,,2022-06-08 09:47:59.2809780
137,1133,79307128,2,65.00,2022-06-08 10:49:03.5609040
138,1134,79307128,1029,68.00,2022-06-08 13:32:08.6500480
139,1135,79307128,1029,35.00,2022-06-08 18:47:50.4395890
140,1136,79307128,1059,176.00,2022-06-08 22:05:11.1124210
141,1137,79307128,1059,73.00,2022-06-08 22:05:24.8974090
142,1138,79307128,1060,240.00,2022-06-08 22:06:38.7188550
143,1139,79307128,29,342.00,2022-06-08 22:29:25.2350310
144,1140,79307128,1034,120.00,2022-06-08 22:30:25.4891250
145,1141,79307128,1061,38.00,2022-06-08 22:36:46.5212910
146,1142,79307128,1061,40.00,2022-06-08 22:40:53.0815200
147,1143,79307128,29,163.00,2022-06-08 22:43:02.7274730
148,1144,79307128,1034,125.00,2022-06-08 22:48:29.2913020
149,1145,79307128,1034,89.00,2022-06-08 23:12:34.4522050
150,1146,79307128,1034,62.00,2022-06-08 23:28:50.9119870
151,1147,79307128,2,100.00,2022-06-09 10:34:47.3289920
152,1148,79307128,1020,,2022-06-09 22:37:17.7764370
153,1149,79307128,2,80.00,2022-06-09 22:37:32.1634440
154,1150,79307128,1062,,2022-06-09 22:38:17.3522490
155,1151,79307128,1063,,2022-06-09 22:39:08.7951580
156,1152,79307128,1023,6.00,2022-06-09 22:39:21.9773630
157,1153,79307128,1034,109.00,2022-06-09 23:01:34.3353310
158,1154,79307128,1064,429.00,2022-06-09 23:03:57.5390270
159,1155,79307128,1065,27.00,2022-06-09 23:11:05.8773120
160,1156,79307128,1066,12.00,2022-06-09 23:15:21.2923170
161,1157,79307128,1034,141.00,2022-06-09 23:17:23.8356810
162,1158,79307128,30,28.00,2022-06-09 23:20:38.4684020
163,1159,79307128,30,27.00,2022-06-09 23:34:03.8759150
164,1161,79307128,1034,103.00,2022-06-09 23:35:38.2162460
165,1162,79307128,2,87.00,2022-06-10 11:33:34.1617390
166,1163,79307128,1020,,2022-06-10 11:34:18.2283730
167,1164,79307128,2,78.00,2022-06-10 13:12:00.1567990
168,1165,79307128,1023,6.00,2022-06-10 14:25:43.2875390
169,1166,79307128,1068,250.00,2022-06-10 15:40:25.3199750
170,1167,79307128,14,390.00,2022-06-10 18:04:19.1342350
171,1168,79307128,21,442.00,2022-06-10 22:03:14.6595920
172,1169,79307128,1034,110.00,2022-06-10 22:04:46.1187660
173,1170,79307128,30,31.00,2022-06-10 22:11:28.2112480
174,1171,79307128,1065,30.00,2022-06-10 22:17:48.7151260
175,1172,79307128,1034,99.00,2022-06-10 22:19:11.9017010
176,1173,79307128,21,148.00,2022-06-10 22:20:18.1755550
177,1174,79307128,30,19.00,2022-06-10 22:24:31.4769540
178,1175,79307128,21,180.00,2022-06-10 22:27:43.0445660
179,1176,79307128,1030,124.00,2022-06-10 22:33:27.0965790
180,1177,79307128,1069,30.00,2022-06-10 22:46:44.5059990
181,1178,79307128,1070,27.00,2022-06-10 22:48:49.0320630
182,1179,79307128,1030,103.00,2022-06-10 22:52:28.1193790
183,1180,79307128,1030,87.00,2022-06-10 23:31:58.8104830
184,1181,79307128,2,78.00,2022-06-11 11:01:01.0370350
185,1182,79307128,1020,,2022-06-11 11:03:17.9574220
186,1183,79307128,1071,,2022-06-11 15:36:22.1582310
187,1184,79307128,1072,,2022-06-11 15:37:30.1527570
188,1185,79307128,1073,,2022-06-11 15:38:17.4737750
189,1186,79307128,29,411.00,2022-06-11 21:02:30.2277290
190,1187,79307128,1030,135.00,2022-06-11 21:03:06.2482010
191,1188,79307128,1056,63.00,2022-06-11 21:04:00.5139360
192,1189,79307128,1056,127.00,2022-06-11 21:13:48.0285400
193,1190,79307128,29,170.00,2022-06-11 21:16:33.0942890
194,1191,79307128,1065,21.00,2022-06-11 21:19:14.2690230
195,1192,79307128,23,7.00,2022-06-11 21:24:38.1539610
196,1193,79307128,1030,95.00,2022-06-11 21:25:54.7517810
